date,prob_3m,prob_6m,regime
2014-01-31,0.7440275201999184,0.4431089524945942,short_term_reflation
2014-02-28,0.7452105025576803,0.4353053523655166,short_term_reflation
2014-03-31,0.6263129207283554,0.401775095508868,short_term_reflation
2014-04-30,0.2076126810900407,0.3590858294499709,short_term_disinflation
2014-05-31,0.1661339706209668,0.3562346356215981,short_term_disinflation
2014-06-30,0.1438557136287299,0.3610409668855717,short_term_disinflation
2014-07-31,0.0770170473055408,0.3426811043191737,disinflation_strong
2014-08-31,0.0770170473055408,0.2998743376333169,disinflation_strong
2014-09-30,0.208271028186771,0.3225764915763363,disinflation_strong
2014-10-31,0.0506439190847105,0.3458273312426436,disinflation_strong
2014-11-30,0.0770864092009319,0.3957024433722156,short_term_disinflation
2014-12-31,0.3485387988019491,0.469399245647806,short_term_disinflation
2015-01-31,0.960223293578597,0.5981990606179631,short_term_reflation
2015-02-28,0.8823516039675526,0.7230950518886382,inflation_up_strong
2015-03-31,0.8823516039675526,0.8280356727122835,inflation_up_strong
2015-04-30,0.934189420343346,0.8857110969278646,inflation_up_strong
2015-05-31,0.8122183846490487,0.9089171118389764,inflation_up_strong
2015-06-30,0.1379478036679647,0.8995078326474646,inflation_peak
2015-07-31,0.1379478036679647,0.8519343292288496,inflation_peak
2015-08-31,0.8150008159887682,0.8333914758900876,inflation_up_strong
2015-09-30,0.8425928378134958,0.8125878514148163,inflation_up_strong
2015-10-31,0.7694754678685114,0.787827205032472,inflation_up_strong
2015-11-30,0.7694754678685114,0.8128829336459278,inflation_up_strong
2015-12-31,0.6690038679423335,0.8291241772790486,inflation_up_strong
2016-01-31,0.5463104223307359,0.8372089871131315,inflation_up
2016-02-29,0.5488098309752562,0.8297366775918505,inflation_up
2016-03-31,0.5488098309752562,0.8398970585025638,inflation_up
2016-04-30,0.5488098309752562,0.862361365376745,inflation_up
2016-05-31,0.6069277142592627,0.8792825975576959,inflation_up_strong
2016-06-30,0.8278399493563684,0.8604360938985419,inflation_up_strong
2016-07-31,0.805131307104899,0.8679180795574464,inflation_up_strong
2016-08-31,0.7911451890599448,0.8296374333874187,inflation_up_strong
2016-09-30,0.7911451890599448,0.8203964180507326,inflation_up_strong
2016-10-31,0.8278399493563684,0.8318943070437331,inflation_up_strong
2016-11-30,0.8171237900229473,0.8447097515483851,inflation_up_strong
2016-12-31,0.9452687868225356,0.8594257476807091,inflation_up_strong
2017-01-31,0.5308604682221454,0.8421704727143541,inflation_up
2017-02-28,0.3659509240263469,0.830485218828321,inflation_peak
2017-03-31,0.3659509240263469,0.8278490998350615,inflation_peak
2017-04-30,0.4236054739817741,0.8081942186294911,inflation_up
2017-05-31,0.6288636691977786,0.7830026603706488,inflation_up_strong
2017-06-30,0.9426973558788496,0.791995078936505,inflation_up_strong
2017-07-31,0.931135371049501,0.8248553575680394,inflation_up_strong
2017-08-31,0.9324239745511372,0.8540710327849885,inflation_up_strong
2017-09-30,0.9121084756843147,0.8477836534115885,inflation_up_strong
2017-10-31,0.9388879897619292,0.839385919673595,inflation_up_strong
2017-11-30,0.84475880591674,0.8056005321862562,inflation_up_strong
2017-12-31,0.8059939157727349,0.7663440103292928,inflation_up_strong
2018-01-31,0.8032293583053205,0.7495273990328131,inflation_up_strong
2018-02-28,0.8055061341075191,0.7438725007348558,inflation_up_strong
