date,equities_broad,duration_long,duration_intermediate,cash_bonds,tips,commodities,gold,usd,energy_equities,financials,equities_value,cyclical_equities,quality_equities,cash
2012-01-31,0.1403847019489415,0.10070890178671509,0.07581488728380012,0.0,0.09653333029920794,0.05790741300488983,0.0590698049510113,0.0,0.04494231548039547,0.031977217955901124,0.0,0.0,0.0,0.19080103719116023
2012-02-29,0.2475669055618221,0.18435024965332486,0.1312564481273164,0.0,0.16068256290800337,0.09601664688692552,0.10417832267494351,0.0,0.07453716396512473,0.05305768104332394,0.0,0.0,0.0,0.3338089726774633
2012-03-31,0.2499010734853582,0.19090296349932576,0.13123981419678052,0.0,0.1542968092551489,0.09199306548926729,0.10523113355323604,0.0,0.07143272317169704,0.05087238085412676,0.0,0.0,0.0,0.3354068491085441
2012-04-30,0.2590610007693518,0.1950075335808702,0.13872566046037335,0.0,0.15926332220544662,0.0940054828767019,0.10918529961977841,0.0,0.07299738017180347,0.05198927746690504,0.0,0.0,0.0,0.34774768232492836
2012-05-31,0.2575147912997311,0.19698922427211563,0.13687929523937545,0.0,0.15364330074976335,0.09054811852339316,0.10855867135456206,0.0,0.070323314472488,0.05009851042158286,0.0,0.0,0.0,0.34462835202709136
2012-06-30,0.2632150383922107,0.20132254050150472,0.1404613280584752,0.0,0.1554882324519377,0.09125302655719203,0.11099545967791817,0.0,0.0708735512568206,0.050494075956449155,0.0,0.0,0.0,0.3519229487326161
2012-07-31,0.24148844611068387,0.15858173893777314,0.1381805017997042,0.0,0.18096665266303344,0.10995223573219376,0.10195606225537615,0.0,0.08515401450788618,0.060355793283578596,0.0,0.0,0.0,0.3396967168524534
2012-08-31,0.2412860731931202,0.13805359019053068,0.14901891114800975,0.0,0.19517395911509083,0.11232916479829604,0.1016590879200526,0.0,0.08696359568625496,0.061598026574213906,0.0,0.0,0.0,0.3363575763676138
2012-09-30,0.2557501306882782,0.12418177336183424,0.16682997007854916,0.0,0.2359756859619587,0.13756376952421476,0.10781221495430644,0.0,0.10646987700136797,0.07537598447852119,0.0,0.0,0.0,0.3656650238595823
2012-10-31,0.26402253652185115,0.13587846950611615,0.174015644043516,0.0,0.22225129708115587,0.12897999322299034,0.11185995093452261,0.0,0.09990996869025165,0.07083994415751295,0.0,0.0,0.0,0.3759620977111285
2012-11-30,0.2719329309137709,0.11436779481236632,0.19541801361714567,0.0,0.23621150195941648,0.1231119477654786,0.1146810340068703,0.0,0.09545246476891375,0.0677929817723489,0.0,0.0,0.0,0.3703933983974298
2012-12-31,0.25489643632406517,0.08979589068193346,0.1880091557116531,0.0,0.25330756742036686,0.13945962341092433,0.1076049819932314,0.0,0.10826211440754002,0.07706460540415572,0.0,0.0,0.0,0.3568095886325927
2013-01-31,0.26572011257247813,0.07953486408864166,0.20669863793242765,0.0,0.2598963759148751,0.13047657091060866,0.11171165165516567,0.0,0.10133239673819147,0.07218822256577431,0.0,0.0,0.0,0.3558644709321688
2013-02-28,0.27259502566921706,0.07750694370239472,0.2169296250702819,0.0,0.2596916884659913,0.12428406642751424,0.11452737609839922,0.0,0.09654775447671388,0.0688114425259135,0.0,0.0,0.0,0.3581608297603726
2013-03-31,0.2776224976408905,0.07543279921893631,0.2250123232571686,0.0,0.2594575239919752,0.11970483317639771,0.11662761251731454,0.0,0.09301863943505498,0.06633244569371226,0.0,0.0,0.0,0.3600465501031789
